timestamp,aggregate_hourly_kW
2011-01-01 00:00:00,68235.53
2011-01-01 01:00:00,65576.72
2011-01-01 02:00:00,65242.656
2011-01-01 03:00:00,65838.92
2011-01-01 04:00:00,64222.688
2011-01-01 05:00:00,64458.79
2011-01-01 06:00:00,67763.59
2011-01-01 07:00:00,69792.25
2011-01-01 08:00:00,71182.05
2011-01-01 09:00:00,73245.625
2011-01-01 10:00:00,72918.76
2011-01-01 11:00:00,71792.4
2011-01-01 12:00:00,73112.35
2011-01-01 13:00:00,71441.29
2011-01-01 14:00:00,71801.91
2011-01-01 15:00:00,72713.19
2011-01-01 16:00:00,72865.99
2011-01-01 17:00:00,74413.39
2011-01-01 18:00:00,79143.78
2011-01-01 19:00:00,78616.75
2011-01-01 20:00:00,78072.09
2011-01-01 21:00:00,77240.97
2011-01-01 22:00:00,73742.11
2011-01-01 23:00:00,69613.55
2011-01-02 00:00:00,68186.03
2011-01-02 01:00:00,64971.723
2011-01-02 02:00:00,64473.242
2011-01-02 03:00:00,64521.543
2011-01-02 04:00:00,65459.75
2011-01-02 05:00:00,73413.57
2011-01-02 06:00:00,93460.54
2011-01-02 07:00:00,108422.59
2011-01-02 08:00:00,118425.555
2011-01-02 09:00:00,137318.88
2011-01-02 10:00:00,141625.38
2011-01-02 11:00:00,141165.47
2011-01-02 12:00:00,143893.08
2011-01-02 13:00:00,139369.23
2011-01-02 14:00:00,139425.92
2011-01-02 15:00:00,139441.5
2011-01-02 16:00:00,139748.03
2011-01-02 17:00:00,141649.39
2011-01-02 18:00:00,146094.38
2011-01-02 19:00:00,142245.17
2011-01-02 20:00:00,137655.98
2011-01-02 21:00:00,133308.55
2011-01-02 22:00:00,120277.88
2011-01-02 23:00:00,96995.92
2011-01-03 00:00:00,79300.234
2011-01-03 01:00:00,67996.52
2011-01-03 02:00:00,65661.266
2011-01-03 03:00:00,65207.33
2011-01-03 04:00:00,65579.33
2011-01-03 05:00:00,72531.125
2011-01-03 06:00:00,91653.766
2011-01-03 07:00:00,106296.92
2011-01-03 08:00:00,119800.89
2011-01-03 09:00:00,136345.75
2011-01-03 10:00:00,137088.48
2011-01-03 11:00:00,136460.34
2011-01-03 12:00:00,137495.5
2011-01-03 13:00:00,139896.88
2011-01-03 14:00:00,138192.14
2011-01-03 15:00:00,140277.7
2011-01-03 16:00:00,142048.47
2011-01-03 17:00:00,143403.08
2011-01-03 18:00:00,147596.17
2011-01-03 19:00:00,146782.23
2011-01-03 20:00:00,142315.53
2011-01-03 21:00:00,138607.06
2011-01-03 22:00:00,127160.72
2011-01-03 23:00:00,104584.96
2011-01-04 00:00:00,82594.44
2011-01-04 01:00:00,69795.33
2011-01-04 02:00:00,67301.62
2011-01-04 03:00:00,66204.445
2011-01-04 04:00:00,66000.02
2011-01-04 05:00:00,75146.03
2011-01-04 06:00:00,94588.09
2011-01-04 07:00:00,109684.055
2011-01-04 08:00:00,120535.93
2011-01-04 09:00:00,137944.2
2011-01-04 10:00:00,139655.69
2011-01-04 11:00:00,139678.84
2011-01-04 12:00:00,139934.7
2011-01-04 13:00:00,143504.66
2011-01-04 14:00:00,142085.33
2011-01-04 15:00:00,143231.14
2011-01-04 16:00:00,144102.52
2011-01-04 17:00:00,147128.22
2011-01-04 18:00:00,150600.11
2011-01-04 19:00:00,147232.31
2011-01-04 20:00:00,144603.31
2011-01-04 21:00:00,139987.34
2011-01-04 22:00:00,128226.445
2011-01-04 23:00:00,107090.1
2011-01-05 00:00:00,83983.484
2011-01-05 01:00:00,71879.68
2011-01-05 02:00:00,69385.9
2011-01-05 03:00:00,68777.21
2011-01-05 04:00:00,69023.555
2011-01-05 05:00:00,76136.16
2011-01-05 06:00:00,96452.73
2011-01-05 07:00:00,110374.766
2011-01-05 08:00:00,119071.6
2011-01-05 09:00:00,136961.34
2011-01-05 10:00:00,140556.4
2011-01-05 11:00:00,139936.53
2011-01-05 12:00:00,141876.45
2011-01-05 13:00:00,141844.84
2011-01-05 14:00:00,140215.19
2011-01-05 15:00:00,142773.23
2011-01-05 16:00:00,143602.52
2011-01-05 17:00:00,145370.48
2011-01-05 18:00:00,149481.11
2011-01-05 19:00:00,149331.78
2011-01-05 20:00:00,145556.33
2011-01-05 21:00:00,140754.11
2011-01-05 22:00:00,129662.19
2011-01-05 23:00:00,107301.84
2011-01-06 00:00:00,84662.87
2011-01-06 01:00:00,71781.22
2011-01-06 02:00:00,69096.09
2011-01-06 03:00:00,68682.25
2011-01-06 04:00:00,68706.41
2011-01-06 05:00:00,75937.516
2011-01-06 06:00:00,99698.79
2011-01-06 07:00:00,112359.49
2011-01-06 08:00:00,122336.48
2011-01-06 09:00:00,138891.08
2011-01-06 10:00:00,140810.78
2011-01-06 11:00:00,141437.12
2011-01-06 12:00:00,143333.03
2011-01-06 13:00:00,141920.9
2011-01-06 14:00:00,142384.06
2011-01-06 15:00:00,142276.55
2011-01-06 16:00:00,144775.69
2011-01-06 17:00:00,146920.45
2011-01-06 18:00:00,151155.72
2011-01-06 19:00:00,149311.03
2011-01-06 20:00:00,144887.61
2011-01-06 21:00:00,140695.78
2011-01-06 22:00:00,129220.86
2011-01-06 23:00:00,107138.1
2011-01-07 00:00:00,84955.58
2011-01-07 01:00:00,72688.96
2011-01-07 02:00:00,69982.38
